runId,queryId,Rprec,bpref,map,num_rel,num_rel_ret,num_ret,recip_rank
base,11,0.8462,0.8757,0.8945,13,13,1000,1.0000
base,12,0.7857,0.8457,0.8852,28,28,1000,1.0000
base,13,0.4722,0.4576,0.4604,144,144,1000,0.3333
base,14,0.6818,0.5599,0.5417,22,22,1000,1.0000
base,15,0.5957,0.5817,0.6420,47,47,1000,1.0000
base,16,0.0000,0.0000,0.0938,2,2,1000,0.1250
base,17,0.2222,0.1358,0.1105,9,6,1000,0.5000
base,18,0.0909,0.0826,0.1474,11,11,1000,0.5000
base,19,0.6154,0.6095,0.6767,13,13,1000,1.0000
base,20,0.6727,0.5947,0.5461,55,55,1000,0.2500
base,21,0.4444,0.4074,0.4174,9,8,1000,1.0000
base,22,0.4750,0.4356,0.5016,40,40,1000,1.0000
base,23,0.4512,0.3794,0.4700,82,82,1000,1.0000
base,24,0.1429,0.0204,0.0974,7,7,1000,0.1429
base,25,0.1429,0.1020,0.1264,7,7,1000,0.3333
base,26,0.3095,0.2766,0.3242,42,42,1000,1.0000
base,27,0.5455,0.5651,0.5270,143,143,1000,0.3333
base,28,0.7097,0.7170,0.7691,31,31,1000,1.0000
base,29,0.1818,0.1420,0.1432,44,38,1000,1.0000
base,30,0.5000,0.2500,0.2885,2,2,1000,0.5000
base,31,1.0000,1.0000,1.0000,5,5,1000,1.0000
base,32,0.8217,0.9014,0.8479,129,128,1000,1.0000
base,33,0.5333,0.4889,0.5479,30,30,1000,1.0000
base,34,0.3889,0.3056,0.3158,72,70,1000,1.0000
base,35,0.5556,0.5432,0.6067,9,9,1000,1.0000
dfr,11,0.8462,0.8935,0.9073,13,13,1000,1.0000
dfr,12,0.8571,0.9005,0.9222,28,28,1000,1.0000
dfr,13,0.5208,0.5244,0.5072,144,144,1000,1.0000
dfr,14,0.6818,0.6240,0.6102,22,22,1000,1.0000
dfr,15,0.6383,0.5998,0.6312,47,47,1000,1.0000
dfr,16,0.0000,0.0000,0.1125,2,2,1000,0.1000
dfr,17,0.1111,0.1111,0.1587,9,6,1000,1.0000
dfr,18,0.0909,0.0826,0.1448,11,11,1000,0.5000
dfr,19,0.6923,0.7160,0.7732,13,13,1000,1.0000
dfr,20,0.6000,0.5560,0.5209,55,55,1000,0.5000
dfr,21,0.4444,0.3704,0.3949,9,8,1000,1.0000
dfr,22,0.5000,0.4456,0.4834,40,40,1000,1.0000
dfr,23,0.3415,0.3462,0.4082,82,82,1000,1.0000
dfr,24,0.0000,0.0000,0.0664,7,7,1000,0.0769
dfr,25,0.1429,0.1020,0.1274,7,7,1000,0.3333
dfr,26,0.1905,0.1395,0.1925,42,42,1000,0.5000
dfr,27,0.5524,0.5801,0.5593,143,143,1000,1.0000
dfr,28,0.6129,0.5911,0.6743,31,31,1000,1.0000
