queryId,runId,Rprec,bpref,map,num_rel,num_rel_ret,num_ret,recip_rank
11,base,0.8462,0.8757,0.8945,13,13,1000,1.0000
11,dfr,0.8462,0.8935,0.9073,13,13,1000,1.0000
11,snowball_stm,0.8462,0.8462,0.8692,13,13,1000,1.0000
11,vacias_txt,0.8462,0.8757,0.8953,13,13,1000,1.0000
12,base,0.7857,0.8457,0.8852,28,28,1000,1.0000
12,dfr,0.8571,0.9005,0.9222,28,28,1000,1.0000
12,snowball_stm,0.7857,0.8597,0.8880,28,28,1000,1.0000
12,vacias_txt,0.7857,0.8393,0.8825,28,28,1000,1.0000
13,base,0.4722,0.4576,0.4604,144,144,1000,0.3333
13,dfr,0.5208,0.5244,0.5072,144,144,1000,1.0000
13,snowball_stm,0.4931,0.4910,0.4890,144,144,1000,0.3333
13,vacias_txt,0.4861,0.4853,0.4815,144,144,1000,0.5000
14,base,0.6818,0.5599,0.5417,22,22,1000,1.0000
14,dfr,0.6818,0.6240,0.6102,22,22,1000,1.0000
14,snowball_stm,0.6818,0.5847,0.5251,22,22,1000,0.5000
14,vacias_txt,0.6364,0.5599,0.5509,22,22,1000,1.0000
15,base,0.5957,0.5817,0.6420,47,47,1000,1.0000
15,dfr,0.6383,0.5998,0.6312,47,47,1000,1.0000
15,snowball_stm,0.6596,0.6496,0.6660,47,47,1000,1.0000
15,vacias_txt,0.5745,0.5890,0.6435,47,47,1000,1.0000
16,base,0.0000,0.0000,0.0938,2,2,1000,0.1250
16,dfr,0.0000,0.0000,0.1125,2,2,1000,0.1000
16,snowball_stm,0.0000,0.0000,0.1101,2,2,1000,0.1250
16,vacias_txt,0.0000,0.0000,0.0875,2,2,1000,0.1250
17,base,0.2222,0.1358,0.1105,9,6,1000,0.5000
17,dfr,0.1111,0.1111,0.1587,9,6,1000,1.0000
17,snowball_stm,0.2222,0.0494,0.0796,9,8,1000,0.1250
17,vacias_txt,0.2222,0.1358,0.0953,9,6,1000,0.3333
18,base,0.0909,0.0826,0.1474,11,11,1000,0.5000
18,dfr,0.0909,0.0826,0.1448,11,11,1000,0.5000
18,snowball_stm,0.0909,0.0826,0.1455,11,11,1000,0.5000
18,vacias_txt,0.0909,0.0826,0.1489,11,11,1000,0.5000
19,base,0.6154,0.6095,0.6767,13,13,1000,1.0000
19,dfr,0.6923,0.7160,0.7732,13,13,1000,1.0000
19,snowball_stm,0.5385,0.5858,0.6860,13,13,1000,1.0000
19,vacias_txt,0.6154,0.5740,0.6638,13,13,1000,1.0000
20,base,0.6727,0.5947,0.5461,55,55,1000,0.2500
20,dfr,0.6000,0.5560,0.5209,55,55,1000,0.5000
20,snowball_stm,0.5818,0.5898,0.5609,55,55,1000,1.0000
20,vacias_txt,0.6727,0.5944,0.5469,55,55,1000,0.2500
21,base,0.4444,0.4074,0.4174,9,8,1000,1.0000
21,dfr,0.4444,0.3704,0.3949,9,8,1000,1.0000
21,snowball_stm,0.5556,0.3827,0.2835,9,8,1000,0.3333
21,vacias_txt,0.4444,0.4074,0.4145,9,8,1000,1.0000
22,base,0.4750,0.4356,0.5016,40,40,1000,1.0000
22,dfr,0.5000,0.4456,0.4834,40,40,1000,1.0000
22,snowball_stm,0.5000,0.4788,0.5279,40,40,1000,1.0000
